image_id,question,answer,pred,label
3344630186_frame_0002,Is the person looking straight at the screen? Is the person looking down at the paper? Is the person looking away?,"The person in the image is looking down at something on the screen, likely a document or other type of digital material. It is unclear what the person is doing or what they are looking at. The image shows the person wearing headphones and sitting at a desk with a computer or other electronic device in front of them. The background is white and there is a strip of light blue on the top half of the image.",0.0,2.0
3100761014_frame_0005,Is the person looking straight at the screen? Is the person looking down at the paper? Is the person looking away?,"The person is looking down at the paper, but it's unclear what the person is doing.",1.0,2.0
3100742013_frame_0004,Is the person looking straight at the screen? Is the person looking down at the paper? Is the person looking away?,"</Img>

No, the person is not looking away from",2.0,0.0
1110032060_frame_0007,Is the person looking straight at the screen? Is the person looking down at the paper? Is the person looking away?,"Yes, the person is looking straight at the screen. No, the person is not looking away. No, the person is not wearing headphones.

The person is a woman with long, dark hair, wearing a black shirt and black jeans. She is sitting at a desk with several computer monitors and keyboards on top. Behind her, there is a wall with several empty frames. In front of her, there are several stacks of papers and a whiteboard. The room is well-lit and has a modern, tech-oriented feel to it.",0.0,0.0
2100551076_frame_0007,Is the person looking straight at the screen? Is the person looking down at the paper? Is the person looking away?,"The man in the image is wearing an orange shirt and has headphones on. The man is looking at the screen and appears to be focused on something. It is not clear what the man is looking at, but it appears to be something on the screen. The man's expression is neutral and does not appear to be looking at anything in particular.",0.0,0.0
1100022028_frame_0005,Is the person looking straight at the screen? Is the person looking down at the paper? Is the person looking away?,"The person in the image is wearing glasses and looks directly at the camera. The person is not looking away from the camera, but is looking straight at it. The image also shows a computer monitor and some boxes on a desk.",0.0,0.0
2408460265_frame_0008,Is the person looking straight at the screen? Is the person looking down at the paper? Is the person looking away?,"The person is looking straight at the screen.

The person is wearing glasses and has a blue shirt on. They are sitting at a desk with a white wall behind them. There is a window behind the person with a view of a city skyline. The person is looking straight at the screen.

There is a white paper on the desk in front of the person. The person is not looking away from the screen, but is looking straight at it. The person is wearing glasses and has a blue shirt on. The person's hair is pulled back into a ponytail. The person is looking straight at the screen.

The person is sitting at a desk with a white wall behind them. There is a window behind the person with a view of a city skyline. The person is looking straight at the screen. The person is wearing glasses and has a blue shirt on. The person's hair is pulled back into a ponytail. The person is looking straight at the screen.",0.0,0.0
1110032060_frame_0006,Is the person looking straight at the screen? Is the person looking down at the paper? Is the person looking away?,"The woman is wearing a black shirt and appears to be sitting in front of a computer. There is a screen in front of her, and she appears to be looking directly at it.",0.0,0.0
3100661024_frame_0010,Is the person looking straight at the screen? Is the person looking down at the paper? Is the person looking away?,The person is looking straight at the camera. They are wearing glasses and a green shirt. The room appears to be an office with several computer monitors on the desks.,0.0,0.0
2100602020_frame_0001,Is the person looking straight at the screen? Is the person looking down at the paper? Is the person looking away?,"Yes, the person is looking down at the paper.",0.0,0.0
4000181005_frame_0007,Is the person looking straight at the screen? Is the person looking down at the paper? Is the person looking away?,"Yes, the person is looking straight at the screen. No, the person is not looking down at the paper. No, the person is not looking away.",0.0,0.0
1110032060_frame_0008,Is the person looking straight at the screen? Is the person looking down at the paper? Is the person looking away?,"The image shows a woman sitting at a desk, looking directly at the camera with a laptop in front of her. The background appears to be an office setting with several boxes and wires visible. The woman is wearing a black t-shirt and appears to be in a professional setting.",0.0,0.0
1110031039_frame_0006,Is the person looking straight at the screen? Is the person looking down at the paper? Is the person looking away?,The person is looking straight at the screen.,0.0,0.0
3100721028_frame_0010,Is the person looking straight at the screen? Is the person looking down at the paper? Is the person looking away?,"The person in the image is wearing a black shirt and appears to be looking directly at the camera. Their facial expression is neutral. The room appears to be an office setting with multiple computers and desks. The background of the image is blurred, making it difficult to determine the location of the image.",0.0,0.0
1813740153_frame_0004,Is the person looking straight at the screen? Is the person looking down at the paper? Is the person looking away?,1. The person is looking down at the paper. 2. The person is looking straight at the screen. 3. The person is looking away from the screen.,0.0,0.0
1110031012_frame_0007,Is the person looking straight at the screen? Is the person looking down at the paper? Is the person looking away?,The woman in the image is looking straight ahead and appears to be working on a computer. The background of the image is cluttered with various office equipment and wires. The overall image is that of a busy office setting.,0.0,0.0
1110031048_frame_0004,Is the person looking straight at the screen? Is the person looking down at the paper? Is the person looking away?,"The woman is looking straight at the camera, her eyes are focused on it. She is wearing a black shirt with the words ""Image Content"" on the front. She is sitting at a desk with several computer monitors on top of it. There are several boxes of files and other office supplies on the floor around the desk. The walls are painted white and there is a window behind the woman, but it is obscured by wires and other objects on the desk.",0.0,0.0
1110032025_frame_0002,Is the person looking straight at the screen? Is the person looking down at the paper? Is the person looking away?,"Yes, the person is looking straight at the screen. Yes, the person is looking away from the camera. No, the person is not looking at the camera.",0.0,0.0
3503610234_frame_0003,Is the person looking straight at the screen? Is the person looking down at the paper? Is the person looking away?,"Yes, the person is looking straight at the screen. The person is wearing glasses and has their hair tied back with a headband. The person appears to be focusing on something on the screen.",0.0,0.0
3100642017_frame_0004,Is the person looking straight at the screen? Is the person looking down at the paper? Is the person looking away?,"Yes, the person is looking straight at the screen. Yes, the person is looking down at the paper. No, the person is not looking away.",0.0,0.0
1110031021_frame_0004,Is the person looking straight at the screen? Is the person looking down at the paper? Is the person looking away?,"Yes, the person is looking down at the paper. No, the person is not looking straight at the screen. Yes, the person is looking straight at the screen.",0.0,0.0
24851014_frame_0005,Is the person looking straight at the screen? Is the person looking down at the paper? Is the person looking away?,"Yes, the person is looking straight at the screen. The person is wearing glasses and has a blue top on. There is a painting on the wall behind the person, and a computer and paper on the desk in front of them. The person is wearing glasses and has a blue top on. There is a painting on the wall behind the person, and a computer and paper on the desk in front of them. Yes, the person is looking straight at the screen. The person is wearing glasses and has a blue top on. There is a painting on the wall behind the person, and a computer and paper on the desk in front of them. The person is wearing glasses and has a blue top on. There is a painting on the wall behind the person, and a computer and paper on the desk in front of them. Yes, the person is looking straight at the screen. The person is wearing glasses and has a blue top on. There is a painting on the wall behind the person, and a computer and paper on the desk in front of them. The person is wearing glasses and has a blue top on. There is a painting on the wall behind the person, and a computer and paper on the desk in front of them. Yes, the person is looking straight at the screen. The person is wearing glasses and has a blue top on. There is a painting on the wall behind",0.0,0.0
